"","map_id","subject_id","real_score","best_score","err_ratio","order_1_to_30","block_1_to_5"
"1",1,1,9206.36563517775,7646,0.204076070517624,4,1
"2",2,1,8554.39301147785,6476,0.320937772000904,28,1
"3",3,1,9017.83089507812,7172,0.25736627092556,22,1
"4",4,1,10974.3498217341,7028,0.561518187497742,25,1
"5",5,1,8411.27691252661,6999,0.201782670742478,10,1
"6",6,1,7707.97665774562,6866,0.122629865678069,26,1
"7",7,1,7897.05778766671,7239,0.0909045154947792,6,1
"8",8,1,7665.55511361747,7095,0.0804165064999959,29,1
"9",9,1,8222.9533014654,7026,0.170360560982835,20,1
"10",10,1,10643.4186749085,7208,0.476611913833027,16,1
"11",11,1,9034.22924711002,6836,0.321566595539792,30,1
"12",12,1,10315.8699372047,7115,0.449876308813029,12,1
"13",13,1,8884.90789189748,7002,0.268910010268135,3,1
"14",14,1,9862.60206104122,7658,0.287882222648371,18,1
"15",15,1,8093.41732659635,7254,0.115717855885904,15,1
"16",16,1,9075.34423502634,7047,0.287830883358357,17,1
"17",17,1,8238.94785464548,6706,0.228593476684385,13,1
"18",18,1,8751.87170420329,7314,0.19659170142238,9,1
"19",19,1,7760.18573130926,6795,0.142043521899818,14,1
"20",20,1,9032.57520985479,6890,0.310968825813467,23,1
"21",21,1,8954.36738084796,7291,0.228139813584962,21,1
"22",22,1,7883.74542506991,6778,0.163137418865434,7,1
"23",23,1,9841.19115531308,7520,0.308669036610782,2,1
"24",24,1,7893.97745543393,6780,0.164303459503529,19,1
"25",25,1,7853.66931220014,7378,0.0644713082407347,11,1
"26",26,1,8173.27110429516,6960,0.174320560961948,24,1
"27",27,1,8292.56155458123,7159,0.158340767506807,1,1
"28",28,1,9118.30425498472,7292,0.250453134254624,5,1
"29",29,1,8446.3347698995,7397,0.141859506543126,27,1
"30",30,1,11968.5577058489,7311,0.637061647633555,8,1
"31",1,2,11073.8076110016,7646,0.448313838739416,12,1
"32",2,2,9203.14952812689,6476,0.421116357030094,6,1
"33",3,2,10059.0820710763,7172,0.402549089664843,9,1
"34",4,2,9057.36405063235,7028,0.288754133556111,29,1
"35",5,2,8067.64040868606,6999,0.152684727630527,30,1
"36",6,2,8741.65604372594,6866,0.273180315136315,2,1
"37",7,2,8915.11760741459,7239,0.231539937479568,23,1
"38",8,2,8327.13013465772,7095,0.173661752594464,28,1
"39",9,2,10311.5754360262,7026,0.467631004273585,1,1
"40",10,2,9196.26279938819,7208,0.275841120891813,13,1
"41",11,2,9148.81330929546,6836,0.338328453671073,11,1
"42",12,2,9502.80895483405,7115,0.335602101874076,4,1
"43",13,2,10959.7723372043,7002,0.56523455258559,26,1
"44",14,2,10023.7304931148,7658,0.308922759612793,20,1
"45",15,2,9568.82126423068,7254,0.319109631131883,22,1
"46",16,2,9411.6754984752,7047,0.335557754856705,24,1
"47",17,2,8075.44245587802,6706,0.204211520411277,18,1
"48",18,2,10552.4268273937,7314,0.442770963548491,19,1
"49",19,2,9903.86669801709,6795,0.457522692864914,21,1
"50",20,2,10175.3563489994,6890,0.476829658780755,3,1
"51",21,2,10554.6909648863,7291,0.447632830186028,17,1
"52",22,2,8026.85805463909,6778,0.184251704726924,5,1
"53",23,2,10345.2236323622,7520,0.375694631963055,25,1
"54",24,2,8205.69519436959,6780,0.210279527193155,10,1
"55",25,2,9889.94553545151,7378,0.340464290519315,7,1
"56",26,2,8379.04244883925,6960,0.203885409315984,15,1
"57",27,2,8611.76664825588,7159,0.202928711867004,27,1
"58",28,2,12541.355675091,7292,0.719878726699264,16,1
"59",29,2,10278.759689865,7397,0.389584924951335,8,1
"60",30,2,9641.81961520951,7311,0.318809959678499,14,1
"61",1,3,9606.20839538905,7646,0.256370441458155,2,1
"62",2,3,8770.10866905773,6476,0.354247787068828,20,1
"63",3,3,8182.65426654177,7172,0.140916657353844,9,1
"64",4,3,8593.84158902629,7028,0.222800453760144,12,1
"65",5,3,7538.76866886707,6999,0.0771208270991664,18,1
"66",6,3,8363.03081771999,6866,0.2180353652374,5,1
"67",7,3,7863.66243803519,7239,0.0862912609525054,11,1
"68",8,3,9101.18614056954,7095,0.282760555400922,27,1
"69",9,3,8603.09229296931,7026,0.22446517121681,24,1
